Metrics;LoadPoint; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Amount of Reallocations;1;;0;0;0;0;0;0;0;0;0;0
Amount of Reallocations;2;;0;0;0;0;0;0;0;0;0;0
Amount of Reallocations;3;;0;0;0;0;0;0;0;0;0;0
Amount of Reallocations;4;;0;0;0;0;0;0;0;0;0;0
Amount of Reallocations;5;;0;0;0;0;0;0;0;0;0;0


Actives Circuits;1;;0;0;0;0;0;0;0;0;0;0
Actives Circuits;2;;0;0;0;0;0;0;0;0;0;0
Actives Circuits;3;;0;0;0;0;0;0;0;0;0;0
Actives Circuits;4;;0;0;0;0;0;0;0;0;0;0
Actives Circuits;5;;0;0;0;0;0;0;0;0;0;0


Actives Circuits Selected;1;;0;0;0;0;0;0;0;0;0;0
Actives Circuits Selected;2;;0;0;0;0;0;0;0;0;0;0
Actives Circuits Selected;3;;0;0;0;0;0;0;0;0;0;0
Actives Circuits Selected;4;;0;0;0;0;0;0;0;0;0;0
Actives Circuits Selected;5;;0;0;0;0;0;0;0;0;0;0


Circuits Reallocated;1;;0;0;0;0;0;0;0;0;0;0
Circuits Reallocated;2;;0;0;0;0;0;0;0;0;0;0
Circuits Reallocated;3;;0;0;0;0;0;0;0;0;0;0
Circuits Reallocated;4;;0;0;0;0;0;0;0;0;0;0
Circuits Reallocated;5;;0;0;0;0;0;0;0;0;0;0


Tentativas de reallocacao;1;;0;0;0;0;0;0;0;0;0;0
Tentativas de reallocacao;2;;0;0;0;0;0;0;0;0;0;0
Tentativas de reallocacao;3;;0;0;0;0;0;0;0;0;0;0
Tentativas de reallocacao;4;;0;0;0;0;0;0;0;0;0;0
Tentativas de reallocacao;5;;0;0;0;0;0;0;0;0;0;0








